# path	line	family	sha	classification	migration
# line "*" classifies every match under a path prefix.
docs/	*	*	-	record	no-change
docs/superpowers/plans/2026-08-22-item48-pwsh7-feasibility.md	757	host	fc055e9f6186	not-a-launch	no-change
docs/superpowers/plans/2026-08-22-item48-pwsh7-feasibility.md	946	host	e3d963021684	not-a-launch	no-change
docs/superpowers/plans/2026-08-22-item48-pwsh7-feasibility.md	947	host	b89a522e4906	not-a-launch	no-change
docs/superpowers/plans/2026-08-22-item48-pwsh7-feasibility.md	987	host	c60cc0fcec39	not-a-launch	no-change
docs/superpowers/plans/2026-08-22-item48-pwsh7-feasibility.md	1014	host	c07dd1758ab4	not-a-launch	no-change
docs/superpowers/plans/2026-08-22-item48-pwsh7-feasibility.md	1107	host	c60cc0fcec39	not-a-launch	no-change
docs/superpowers/plans/2026-08-22-item48-pwsh7-feasibility.md	1223	host	c07dd1758ab4	not-a-launch	no-change
docs/superpowers/plans/2026-08-22-item48-pwsh7-feasibility.md	1393	host	5339fd1fa9be	doc-instruction	no-change
docs/superpowers/plans/2026-08-22-item48-pwsh7-feasibility.md	1413	host	d4fa96f95e19	not-a-launch	no-change
docs/superpowers/plans/2026-08-22-item48-pwsh7-feasibility.md	1424	host	5535c7a820b6	doc-instruction	no-change
docs/superpowers/plans/2026-08-22-item48-pwsh7-feasibility.md	1435	host	0c11a45fc789	doc-instruction	no-change
docs/superpowers/plans/2026-08-22-item48-pwsh7-feasibility.md	1439	host	f165a71b8cfb	doc-instruction	no-change
docs/superpowers/plans/2026-08-22-item48-pwsh7-feasibility.md	1450	host	88e1e84239fd	not-a-launch	no-change
docs/superpowers/plans/2026-08-22-item48-pwsh7-feasibility.md	1451	host	9566a0372fcd	doc-instruction	no-change
docs/superpowers/plans/2026-08-22-item48-pwsh7-feasibility.md	1454	host	01a1111555a7	not-a-launch	no-change
docs/superpowers/plans/2026-08-22-item48-pwsh7-feasibility.md	1463	host	04cb6b2d207a	doc-instruction	no-change
docs/superpowers/plans/2026-08-22-item48-pwsh7-feasibility.md	1464	host	addc3e5b6ccd	doc-instruction	no-change
docs/superpowers/plans/2026-08-22-item48-pwsh7-feasibility.md	1483	host	740d76c59d6d	not-a-launch	no-change
docs/superpowers/plans/2026-08-22-item48-pwsh7-feasibility.md	1563	host	ea70a5f182fc	not-a-launch	no-change
docs/superpowers/plans/2026-08-22-item48-pwsh7-feasibility.md	1633	host	dc80b1a7b845	not-a-launch	no-change
docs/superpowers/plans/2026-08-22-item48-pwsh7-feasibility.md	1637	host	f04cae3c6a55	not-a-launch	no-change
docs/superpowers/plans/2026-08-22-item48-pwsh7-feasibility.md	1641	host	0eab0ec75d34	not-a-launch	no-change
docs/superpowers/plans/2026-08-22-item48-pwsh7-feasibility.md	1646	host	d84b26d1676c	not-a-launch	no-change
docs/superpowers/plans/2026-08-22-item48-pwsh7-feasibility.md	1665	host	ff6fa2f2ed71	not-a-launch	no-change
docs/superpowers/plans/2026-08-22-item48-pwsh7-feasibility.md	1667	host	4a8cc9c6951c	not-a-launch	no-change
docs/superpowers/plans/2026-08-22-item48-pwsh7-feasibility.md	1669	host	f0d94e317c32	not-a-launch	no-change
docs/superpowers/plans/2026-08-22-item48-pwsh7-feasibility.md	1690	host	87df9b259666	not-a-launch	no-change
docs/superpowers/plans/2026-08-22-item48-pwsh7-feasibility.md	1700	host	28fa39a86803	not-a-launch	no-change
docs/superpowers/plans/2026-08-22-item48-pwsh7-feasibility.md	1702	host	e698b4cfd737	not-a-launch	no-change
docs/superpowers/plans/2026-08-22-item48-pwsh7-feasibility.md	1712	host	719cd0ae4888	not-a-launch	no-change
docs/superpowers/plans/2026-08-22-item48-pwsh7-feasibility.md	1719	host	ba4f4e38368b	not-a-launch	no-change
docs/superpowers/plans/2026-08-22-item48-pwsh7-feasibility.md	1724	host	3ac513f8ec11	not-a-launch	no-change
docs/superpowers/plans/2026-08-22-item48-pwsh7-feasibility.md	1769	host	1d1bfa7c20eb	doc-instruction	no-change
docs/superpowers/plans/2026-08-22-item48-pwsh7-feasibility.md	1797	host	20a4bf83fb1b	doc-instruction	no-change
docs/superpowers/plans/2026-08-22-item48-pwsh7-feasibility.md	1807	host	96ac862f83e8	doc-instruction	no-change
docs/superpowers/plans/2026-08-22-item48-pwsh7-feasibility.md	1808	host	10b63e712f03	doc-instruction	no-change
docs/superpowers/plans/2026-08-22-item48-pwsh7-feasibility.md	1815	host	e4046bb36244	not-a-launch	no-change
docs/superpowers/plans/2026-08-22-item48-pwsh7-feasibility.md	1860	host	3d3ce4aa943f	doc-instruction	no-change
docs/superpowers/plans/2026-08-22-item48-pwsh7-feasibility.md	1915	host	efc8d266f5e0	not-a-launch	no-change
docs/superpowers/plans/rounds/2026-08-22-item48-pwsh7-feasibility/survey.py	113	host	b6dc245dcdf7	not-a-launch	no-change
evals/multi-model-verify/fixtures/codex-prompt-input/flagged.json	8	host	adc64384f74b	fixture	no-change
evals/multi-model-verify/fixtures/codex-prompt-input/full.json	8	host	6a03db345999	fixture	no-change
evals/multi-model-verify/fixtures/codex-prompt-input/malformed-block.json	8	host	ebe5d392d527	fixture	no-change
evals/multi-model-verify/fixtures/codex-prompt-input/missing-block-plugins-off.json	8	host	35aa76d06cfc	fixture	no-change
evals/multi-model-verify/fixtures/codex-prompt-input/repo-agents.json	8	host	a40ed4d7ca52	fixture	no-change
evals/multi-model-verify/fixtures/codex-prompt-input/suppressed.json	8	host	35aa76d06cfc	fixture	no-change
evals/multi-model-verify/fixtures/stub-appserver/stub-appserver.cmd	14	host	088fbff0261c	test-harness	unknown
evals/multi-model-verify/test_attestation.py	10	host	9af19a063eb2	not-a-launch	must-change
evals/multi-model-verify/test_attestation.py	11	host	4135ec3d785f	not-a-launch	no-change
evals/multi-model-verify/test_attestation.py	30	host	bdbb8953e8a6	not-a-launch	must-change
evals/multi-model-verify/test_attestation.py	33	host	30912fac5663	not-a-launch	must-change
evals/multi-model-verify/test_attestation.py	36	host	e80464fc41a4	host-pin-nonexec	must-change
evals/multi-model-verify/test_backup_lane.py	270	host	21f83b7543c2	host-pin-nonexec	unknown
evals/multi-model-verify/test_backup_lane.py	1322	host	ae3199a19217	test-harness	must-change
evals/multi-model-verify/test_backup_lane.py	1328	host	066439c261b3	test-harness	must-change
evals/multi-model-verify/test_backup_lane.py	1334	host	1d364d490394	test-harness	must-change
evals/multi-model-verify/test_backup_lane.py	1338	host	a6bd67ad31cc	test-harness	must-change
evals/multi-model-verify/test_backup_lane.py	1340	host	d5a10c4a41aa	test-harness	must-change
evals/multi-model-verify/test_backup_lane.py	1354	host	bd2176ed0bbf	test-harness	must-change
evals/multi-model-verify/test_backup_lane.py	1360	host	fb1ce2c23625	test-harness	must-change
evals/multi-model-verify/test_backup_lane.py	1373	host	b34a3c6b8350	test-harness	must-change
evals/multi-model-verify/test_backup_lane.py	1374	host	3b7f315d524d	test-harness	must-change
evals/multi-model-verify/test_backup_lane.py	1376	host	5ce82e0a2a8e	test-harness	must-change
evals/multi-model-verify/test_backup_lane.py	1378	host	9b42ef6c7d60	test-harness	must-change
evals/multi-model-verify/test_backup_lane.py	1388	host	ae3199a19217	test-harness	must-change
evals/multi-model-verify/test_backup_lane.py	1395	host	ae3199a19217	test-harness	must-change
evals/multi-model-verify/test_backup_lane.py	1401	host	066439c261b3	test-harness	must-change
evals/multi-model-verify/test_backup_lane.py	1408	host	1d364d490394	test-harness	must-change
evals/multi-model-verify/test_backup_lane.py	1413	host	a67a0f7af6ec	test-harness	must-change
evals/multi-model-verify/test_backup_lane.py	1741	host	7cc94fc577d7	test-harness	must-change
evals/multi-model-verify/test_codex_context_probe.py	43	host	40e16a94b2bb	not-a-launch	must-change
evals/multi-model-verify/test_codex_context_probe.py	45	host	b80bdd7efb78	not-a-launch	must-change
evals/multi-model-verify/test_codex_context_probe.py	48	host	39fd0fa442ec	not-a-launch	must-change
evals/multi-model-verify/test_codex_context_probe.py	52	host	2c85de34be8d	not-a-launch	must-change
evals/multi-model-verify/test_codex_context_probe.py	58	host	e80464fc41a4	host-pin-nonexec	must-change
evals/multi-model-verify/test_codex_context_probe.py	69	host	335aef04f737	not-a-launch	must-change
evals/multi-model-verify/test_codex_round_evidence.py	58	host	e80464fc41a4	host-pin-nonexec	must-change
evals/multi-model-verify/test_codex_tool_surface_probe.py	40	host	e80464fc41a4	host-pin-nonexec	must-change
evals/multi-model-verify/test_codex_tool_surface_probe.py	381	host	47dee8ce461e	not-a-launch	must-change
evals/multi-model-verify/test_codex_tool_surface_probe.py	500	host	eb6251acefde	not-a-launch	must-change
evals/multi-model-verify/test_codex_tool_surface_probe.py	515	host	2186e570b5ab	host-pin-nonexec	must-change
evals/multi-model-verify/test_home_skill_canary.py	33	host	9180f89e1ab9	not-a-launch	must-change
evals/multi-model-verify/test_home_skill_canary.py	62	host	e80464fc41a4	host-pin-nonexec	must-change
evals/multi-model-verify/test_kimi_credential_state.py	42	host	da30a8411cb2	not-a-launch	must-change
evals/multi-model-verify/test_kimi_credential_state.py	70	host	e80464fc41a4	host-pin-nonexec	must-change
evals/multi-model-verify/test_kimi_lane_home.py	57	host	c57d3c0b5f84	not-a-launch	must-change
evals/multi-model-verify/test_kimi_lane_home.py	61	host	e80464fc41a4	host-pin-nonexec	must-change
evals/multi-model-verify/test_kimi_lane_home.py	112	host	4fe622a6b200	not-a-launch	no-change
evals/multi-model-verify/test_kimi_lane_home.py	238	host	0004b631de71	not-a-launch	must-change
evals/multi-model-verify/test_kimi_lane_lock.py	8	host	60a2d162e390	not-a-launch	must-change
evals/multi-model-verify/test_kimi_lane_lock.py	11	host	68a881c5cf57	not-a-launch	must-change
evals/multi-model-verify/test_kimi_lane_lock.py	12	host	afe9cfc92026	not-a-launch	must-change
evals/multi-model-verify/test_kimi_lane_lock.py	30	host	e80464fc41a4	host-pin-nonexec	must-change
evals/multi-model-verify/test_kimi_lane_lock.py	225	host	cc81dca9a2b2	not-a-launch	must-change
evals/multi-model-verify/test_kimi_lane_login.py	47	host	e80464fc41a4	host-pin-nonexec	must-change
evals/multi-model-verify/test_kimi_lane_login.py	234	host	b7ac2a310d5c	not-a-launch	must-change
evals/multi-model-verify/test_kimi_round_evidence.py	82	host	25185abcd83f	not-a-launch	must-change
evals/multi-model-verify/test_kimi_round_evidence.py	89	host	1e4eed0a5eb9	host-pin-nonexec	must-change
evals/multi-model-verify/test_lane_credential_live.py	60	host	6ad2e864cc5a	host-pin-nonexec	must-change
evals/multi-model-verify/test_lane_credential_live_support.py	18	host	8ad131c5e6a1	not-a-launch	must-change
evals/multi-model-verify/test_lock_protocol_live.py	21	host	7f0d34db2906	not-a-launch	must-change
evals/multi-model-verify/test_lock_protocol_live.py	55	host	e80464fc41a4	host-pin-nonexec	must-change
evals/multi-model-verify/test_lock_protocol_live.py	71	host	cccb5fb862ea	host-pin-nonexec	must-change
evals/multi-model-verify/test_lock_protocol_live.py	78	host	31fe2a871f92	not-a-launch	must-change
evals/multi-model-verify/test_lock_protocol_live.py	83	host	a75191163ee3	host-pin-nonexec	must-change
evals/multi-model-verify/test_lock_protocol_live.py	335	host	d8badf98dbd2	not-a-launch	must-change
evals/multi-model-verify/test_lock_protocol_live.py	336	host	ebfaecacc3e1	not-a-launch	must-change
evals/multi-model-verify/test_lock_protocol_live.py	381	host	e58c06381c57	host-pin-nonexec	must-change
evals/multi-model-verify/test_lock_protocol_live.py	382	host	c76ddd1c8fdb	host-pin-nonexec	must-change
evals/multi-model-verify/test_lock_protocol_live.py	400	host	d0b99b2764f1	host-pin-nonexec	must-change
evals/multi-model-verify/test_multi_model_verify.py	2265	host	2683f2f8ec11	test-harness	no-change
evals/multi-model-verify/test_multi_model_verify.py	2266	host	0e3eef91f586	test-harness	no-change
evals/multi-model-verify/test_multi_model_verify.py	2267	host	30edf1557e4b	test-harness	no-change
evals/multi-model-verify/test_multi_model_verify.py	2269	host	f888089b542b	test-harness	no-change
evals/multi-model-verify/test_multi_model_verify.py	2954	host	718010a7d3cb	test-harness	must-change
evals/multi-model-verify/test_multi_model_verify.py	2961	host	da34690b227a	test-harness	must-change
evals/multi-model-verify/test_multi_model_verify.py	2999	host	da34690b227a	test-harness	must-change
evals/multi-model-verify/test_review_mirror.py	32	host	fd016e699ec7	not-a-launch	must-change
evals/multi-model-verify/test_review_mirror.py	38	host	a3f90530305e	not-a-launch	must-change
evals/multi-model-verify/test_review_mirror.py	42	host	e80464fc41a4	host-pin-nonexec	must-change
evals/multi-model-verify/test_skill_report_shapes.py	17	host	3823829953f4	not-a-launch	must-change
evals/multi-model-verify/test_skill_report_shapes.py	45	host	e80464fc41a4	host-pin-nonexec	must-change
evals/tools/check_workflow_paths.py	41	host	6d7d3e2104e4	host-pin-nonexec	must-change
evals/tools/check_workflow_paths.py	42	host	eefff94f39b9	host-pin-nonexec	must-change
evals/tools/check_workflow_paths.py	43	host	761740de8644	host-pin-nonexec	must-change
evals/tools/check_workflow_paths.py	85	host	b6ed740614fc	host-pin-nonexec	must-change
evals/tools/check_workflow_paths.py	153	host	b14747c2c7da	host-pin-nonexec	must-change
evals/tools/drift_statemachine_tests.ps1	542	host	c050168bd5f2	host-pin-nonexec	must-change
evals/tools/drift_statemachine_tests.ps1	1264	host	18656ba6acc9	host-pin-nonexec	no-change
evals/tools/drift_statemachine_tests.ps1	1267	host	401a69c997b2	not-a-launch	no-change
evals/tools/drift_statemachine_tests.ps1	1275	host	277ba97547ee	host-pin-nonexec	no-change
evals/tools/drift_statemachine_tests.ps1	1277	host	330edee7b2af	host-pin-nonexec	no-change
evals/tools/lane_credential_live_support.py	84	host	e9feb91c4628	not-a-launch	must-change
evals/tools/lane_credential_live_support.py	89	host	e80464fc41a4	host-pin-nonexec	must-change
evals/tools/lane_credential_live_support.py	98	host	36de2c961eb9	not-a-launch	must-change
hooks/hooks.json	10	host	fe4f748d2ba4	host-pin-exec	no-change
hooks/hooks.json	22	host	fe4f748d2ba4	host-pin-exec	no-change
README.md	312	host	c168b5af03e8	doc-instruction	must-change
README.md	358	host	a41e3cc0a47e	doc-instruction	no-change
skills/multi-model-verify/references/backup-lane.md	111	host	b1386cb57156	host-pin-nonexec	unknown
tools/check-drift.ps1	68	host	748cacb94581	host-pin-nonexec	must-change
tools/check-drift.ps1	96	host	6df2fd517b78	host-pin-exec	must-change
tools/check-drift.ps1	405	host	bd08265a3829	not-a-launch	must-change
tools/codex-tool-surface-probe.ps1	125	host	96ddc7e5c6fc	not-a-launch	must-change
tools/codex-tool-surface-probe.ps1	247	host	d45f8665e303	not-a-launch	must-change
tools/codex-tool-surface-probe.ps1	254	host	24b10e3fe38d	not-a-launch	must-change
tools/kimi-lane-lock.ps1	872	host	d0fa016775b7	not-a-launch	no-change
tools/kimi-lane-lock.ps1	887	host	a7d1e7e9eb31	host-pin-nonexec	unknown
tools/new-kimi-lane-login.ps1	56	host	9cb922a8cbc0	not-a-launch	no-change
